	 activite	Type	date	Temps	Distance	Gain_altitude	Perte_altitude	Vitesse_moy	Vitesse_max	Calories	jour	mois	annee	date2	heure	date2_heure	temp	humidity	wind_speed	wind_degree	clouds_coverage	rain	pressure
28	 michael	Course à pied	sam., 5 juil. 2014 5:28	44:25:00	7,22	78	75	06:09	04:59	594.0	5	juillet	2014	05/07/2014	05:28	05/07/2014 05:28	NA	NA	NA	NA	NA	NA	NA
29	 michael	Course à pied	ven., 4 juil. 2014 5:39	44:21:00	6,89	53	54	06:26	04:44	573.0	4	juillet	2014	04/07/2014	05:39	04/07/2014 05:39	292.321	86	4.35	144	92	10	982.69
30	 peggy	Course à pied	jeu., 3 juil. 2014 7:09	34:32:00	4,54	38	41	07:36	06:31	352.0	3	juillet	2014	03/07/2014	07:09	03/07/2014 07:09	289.494	84	1.06	344.506	0	0	992.27
31	 michael	Course à pied	jeu., 3 juil. 2014 5:35	46:41:00	6,89	49	48	06:46	05:40	570.0	3	juillet	2014	03/07/2014	05:35	03/07/2014 05:35	289.494	84	1.06	344.506	0	0	992.27
32	 michael	Course à pied	mer., 2 juil. 2014 6:43	40:15:00	6,45	50	50	06:14	05:11	536.0	2	juillet	2014	02/07/2014	06:43	02/07/2014 06:43	289.688	100	1.41	113.5	92	2.5	987.18
33	 michael	Course à pied	mar., 1 juil. 2014 5:57	46:47:00	6,9	50	51	06:47	05:13	566.0	1	juillet	2014	01/07/2014	05:57	01/07/2014 05:57	289.47	56	1.46	37.0036	68	NA	985.66
34	  michael	Course à pied	jeu., 17 juil. 2014 6:13	39:52:00	6,67	65	67	05:59	03:33	547.0	17	juillet	2014	17/07/2014	06:13	17/07/2014 06:13	292.309	78	1.06	19.5078	0	NA	990.45
35	 michael	Course à pied	mar., 15 juil. 2014 6:10	40:30:00	6,69	70	72	06:03	03:59	553.0	15	juillet	2014	15/07/2014	06:10	15/07/2014 06:10	289.81	82	1	307.5	0	NA	990.26
36	 michael & peggy & perrine	Randonnée pédestre	lun., 14 juil. 2014 10:40	01:41:16	5,47	104	230	18:31	02:03	349.0	14	juillet	2014	14/07/2014	10:40	14/07/2014 10:40	298.498	42	4.02	310	0	NA	986.76
37	 michael	Course à pied	dim., 13 juil. 2014 6:06	36:51:00	5,55	46	48	06:38	05:59	457.0	13	juillet	2014	13/07/2014	06:06	13/07/2014 06:06	296.15	55	3.11	308.002	0	NA	1004.4
38	 michael & peggy & perrine	Randonnée pédestre	sam., 12 juil. 2014 11:06	53:19:00	3,2	4	14	16:41	03:38	197.0	12	juillet	2014	12/07/2014	11:06	12/07/2014 11:06	300.95	38	4	0	44	NA	1002.9
39	 michael & peggy & perrine	Randonnée pédestre	sam., 12 juil. 2014 9:20	01:22:47	4,53	66	58	18:16	04:47	281.0	12	juillet	2014	12/07/2014	09:20	12/07/2014 09:20	302.35	37	3	337	0	NA	1003.4
40	 michael	Course à pied	sam., 12 juil. 2014 5:43	40:46:00	6,63	63	61	06:09	05:05	546.0	12	juillet	2014	12/07/2014	05:43	12/07/2014 05:43	291.214	63	3.36	310.001	0	NA	985.91
41	 michael	Course à pied	jeu., 10 juil. 2014 5:27	48:22:00	7,71	74	71	06:17	05:12	644.0	10	juillet	2014	10/07/2014	05:27	10/07/2014 05:27	289.409	57	5.36	306.51	8	NA	984.53
42	 peggy	Course à pied	mer., 9 juil. 2014 6:57	44:21:00	6,01	64	64	07:23	04:14	480.0	9	juillet	2014	09/07/2014	06:57	09/07/2014 06:57	290.731	57	4.87	312.001	8	NA	985.84
43	 michael	Course à pied	mer., 9 juil. 2014 5:17	01:00:05	9,76	100	101	06:09	05:28	806.0	9	juillet	2014	09/07/2014	05:17	09/07/2014 05:17	288.614	64	5.01	303.503	0	NA	985.62
44	 michael	Course à pied	mar., 8 juil. 2014 5:38	40:47:00	6,66	61	61	06:08	04:48	558.0	8	juillet	2014	08/07/2014	05:38	08/07/2014 05:38	286.639	82	3.42	306.003	44	0	987.27
45	 peggy	Course à pied	lun., 7 juil. 2014 7:02	37:44:00	5,01	51	51	07:32	06:45	389.0	7	juillet	2014	07/07/2014	07:02	07/07/2014 07:02	290.95	86	1.56	321.501	92	6	1003.2
46	 michael	Course à pied	lun., 7 juil. 2014 5:41	44:27:00	6,68	64	61	06:39	05:26	556.0	7	juillet	2014	07/07/2014	05:41	07/07/2014 05:41	289.067	98	1.41	333.501	92	4	984.61
47	 michael	Course à pied	dim., 6 juil. 2014 5:52	49:18:00	7,66	77	78	06:26	05:37	630.0	6	juillet	2014	06/07/2014	05:52	06/07/2014 05:52	290.676	95	1.77	50.0028	76	NA	983.05
48	 michael	Course à pied	sam., 5 juil. 2014 5:28	44:25:00	7,22	78	75	06:09	04:59	594.0	5	juillet	2014	05/07/2014	05:28	05/07/2014 05:28	NA	NA	NA	NA	NA	NA	NA
49	 michael	Course à pied	ven., 4 juil. 2014 5:39	44:21:00	6,89	53	54	06:26	04:44	573.0	4	juillet	2014	04/07/2014	05:39	04/07/2014 05:39	292.321	86	4.35	144	92	10	982.69
50	 peggy	Course à pied	jeu., 3 juil. 2014 7:09	34:32:00	4,54	38	41	07:36	06:31	352.0	3	juillet	2014	03/07/2014	07:09	03/07/2014 07:09	289.494	84	1.06	344.506	0	0	992.27
51	 michael	Course à pied	jeu., 3 juil. 2014 5:35	46:41:00	6,89	49	48	06:46	05:40	570.0	3	juillet	2014	03/07/2014	05:35	03/07/2014 05:35	289.494	84	1.06	344.506	0	0	992.27
52	 michael	Course à pied	mer., 2 juil. 2014 6:43	40:15:00	6,45	50	50	06:14	05:11	536.0	2	juillet	2014	02/07/2014	06:43	02/07/2014 06:43	289.688	100	1.41	113.5	92	2.5	987.18
53	 michael	Course à pied	mar., 1 juil. 2014 5:57	46:47:00	6,9	50	51	06:47	05:13	566.0	1	juillet	2014	01/07/2014	05:57	01/07/2014 05:57	289.47	56	1.46	37.0036	68	NA	985.66
54	  michael & david	Course à pied	mer., 6 août 2014 8:50	01:12:41	12,71	146	142	05:43	03:06	1.0659999999999998	6	août	2014	06/08/2014	08:50	06/08/2014 08:50	300.64	34	4.1	350	20	NA	1016
55	 michael & david	Course à pied	mar., 5 août 2014 8:35	01:04:29	10,8	198	192	05:58	02:38	887.0	5	août	2014	05/08/2014	08:35	05/08/2014 08:35	298.15	53	3.1	300	20	0	1018
56	 michael	Course à pied	dim., 3 août 2014 5:51	01:08:54	11,85	124	123	05:49	04:48	978.0	3	août	2014	03/08/2014	05:51	03/08/2014 05:51	292.83	77	2.6	80	0	NA	1011
57	 michael	Course à pied	sam., 2 août 2014 7:11	01:03:17	10,78	108	106	05:52	05:06	889.0	2	août	2014	02/08/2014	07:11	02/08/2014 07:11	294.15	73	2.1	90	75	6	1010
58	 michael	Course à pied	ven., 1 août 2014 5:46	36:13:00	5,57	53	54	06:30	05:10	459.0	1	août	2014	01/08/2014	05:46	01/08/2014 05:46	294.64	53	1.5	320	8	NA	1011
59	 michael	Course à pied	jeu., 31 juil. 2014 6:29	01:06:59	10,7	111	109	06:16	04:53	889.0	31	juillet	2014	31/07/2014	06:29	31/07/2014 06:29	294.64	49	6.2	330	0	NA	1011
60	 michael	Course à pied	mer., 30 juil. 2014 6:45	45:21:00	7,65	72	74	05:56	04:40	633.0	30	juillet	2014	30/07/2014	06:45	30/07/2014 06:45	293.66	60	1	0	0	NA	1010
61	 michael	Course à pied	mar., 29 juil. 2014 6:17	01:02:08	10,75	119	117	05:47	04:27	888.0	29	juillet	2014	29/07/2014	06:17	29/07/2014 06:17	291.64	59	2.6	330	12	NA	1010
62	 michael	Course à pied	lun., 28 juil. 2014 6:52	39:27:00	6,54	58	56	06:02	05:09	540.0	28	juillet	2014	28/07/2014	06:52	28/07/2014 06:52	295.38	64	4.1	280	0	NA	1012
63	 michael	Course à pied	dim., 27 juil. 2014 5:50	48:56:00	7,65	76	74	06:24	05:38	636.0	27	juillet	2014	27/07/2014	05:50	27/07/2014 05:50	291.849	67	2.47	323.004	0	NA	986.78
64	 michael	Course à pied	sam., 26 juil. 2014 6:44	01:00:41	10,68	114	112	05:41	04:28	883.0	26	juillet	2014	26/07/2014	06:44	26/07/2014 06:44	296.409	67	2.2	335.002	0	NA	984.08
65	 michael	Course à pied	ven., 25 juil. 2014 5:23	01:06:10	10,76	112	114	06:09	05:14	893.0	25	juillet	2014	25/07/2014	05:23	25/07/2014 05:23	292.85	74	1	45	12	0	1001.3
66	 peggy	Course à pied	jeu., 24 juil. 2014 6:48	39:46:00	5,42	62	63	07:20	06:28	437.0	24	juillet	2014	24/07/2014	06:48	24/07/2014 06:48	298.688	61	1.42	338.006	0	NA	982.18
67	 michael	Course à pied	jeu., 24 juil. 2014 5:50	40:42:00	6,64	67	67	06:08	04:07	552.0	24	juillet	2014	24/07/2014	05:50	24/07/2014 05:50	291.57	85	0.97	311.504	0	2	981.94
68	 michael	Course à pied	mer., 23 juil. 2014 6:11	40:24:00	6,6	62	61	06:07	04:26	542.0	23	juillet	2014	23/07/2014	06:11	23/07/2014 06:11	295.27	68	2.01	331.001	32	NA	982.83
69	 michael	Course à pied	mar., 22 juil. 2014 5:56	49:14:00	8,26	85	83	05:58	02:31	682.0	22	juillet	2014	22/07/2014	05:56	22/07/2014 05:56	293.007	67	4.2	327.502	0	NA	986.27
70	 michael	Course à pied	lun., 21 juil. 2014 6:44	37:27:00	6,46	61	61	05:48	05:01	536.0	21	juillet	2014	21/07/2014	06:44	21/07/2014 06:44	295.95	57	2	292	20	0	1004.7
71	 michael	Course à pied	sam., 19 juil. 2014 5:45	01:04:42	10,78	118	116	06:00	05:14	892.0	19	juillet	2014	19/07/2014	05:45	19/07/2014 05:45	291.476	82	1.69	71.5004	64	NA	986.54
72	 peggy	Course à pied	ven., 18 juil. 2014 7:04	37:14:00	5	53	56	07:27	06:31	402.0	18	juillet	2014	18/07/2014	07:04	18/07/2014 07:04	299.577	53	1.51	93.502	0	NA	989.96
73	 michael	Course à pied	ven., 18 juil. 2014 5:39	47:10:00	7,68	79	80	06:09	05:11	636.0	18	juillet	2014	18/07/2014	05:39	18/07/2014 05:39	290.476	85	1.17	30.0021	0	NA	990.16
74	  michael	Course à pied	dim., 31 août 2014 7:15	57:53:00	10,84	115	116	05:20	04:44	893.0	31	août	2014	31/08/2014	07:15	31/08/2014 07:15	295.13	43	5.1	350	8	NA	1016
75	 michael	Course à pied	sam., 30 août 2014 6:53	01:02:57	11,83	127	127	05:19	04:25	978.0	30	août	2014	30/08/2014	06:53	30/08/2014 06:53	295.64	46	5.7	350	44	NA	1017
76	 michael	Course à pied	ven., 29 août 2014 5:49	57:21:00	10,79	116	117	05:19	04:25	895.0	29	août	2014	29/08/2014	05:49	29/08/2014 05:49	293.15	72	1.01	33.5025	8	NA	1016
77	 michael	Course à pied	jeu., 28 août 2014 5:53	01:29:47	15,97	188	186	05:37	04:44	1.317	28	août	2014	28/08/2014	05:53	28/08/2014 05:53	292.64	49	3.1	330	24	NA	1016
78	 michael	Course à pied	mer., 27 août 2014 6:39	52:33:00	9,73	104	105	05:24	04:22	807.0	27	août	2014	27/08/2014	06:39	27/08/2014 06:39	296.64	57	2.1	330	0	0	1014
79	 michael	Course à pied	mar., 26 août 2014 7:18	59:52:00	10,79	114	112	05:33	04:42	891.0	26	août	2014	26/08/2014	07:18	26/08/2014 07:18	294.17	77	2.6	10	90	NA	1012
80	 michael	Course à pied	sam., 23 août 2014 6:53	53:02:00	10,02	117	120	05:18	04:26	831.0	23	août	2014	23/08/2014	06:53	23/08/2014 06:53	292.15	63	3.1	350	0	NA	1016
81	 michael	Course à pied	ven., 22 août 2014 7:22	56:57:00	9,69	115	119	05:53	04:57	803.0	22	août	2014	22/08/2014	07:22	22/08/2014 07:22	293.15	45	3.6	30	64	NA	1016
82	 michael	Course à pied	jeu., 21 août 2014 6:55	01:00:06	10,01	105	107	06:00	04:32	833.0	21	août	2014	21/08/2014	06:55	21/08/2014 06:55	293.13	40	4.6	350	0	NA	1017
83	 michael	Course à pied	mer., 20 août 2014 7:42	58:09:00	9,69	106	112	06:00	04:13	807.0	20	août	2014	20/08/2014	07:42	20/08/2014 07:42	295.12	38	4.1	350	8	0	1015
84	 michael	Course à pied	mar., 19 août 2014 7:16	55:36:00	9,74	115	119	05:42	04:18	808.0	19	août	2014	19/08/2014	07:16	19/08/2014 07:16	296.45	64	0.92	119.004	36	NA	984.11
85	 michael	Course à pied	lun., 18 août 2014 6:39	01:28:32	15,16	165	179	05:51	01:41	1.264	18	août	2014	18/08/2014	06:39	18/08/2014 06:39	NA	NA	NA	NA	NA	NA	NA
86	 michael	Course à pied	dim., 17 août 2014 7:40	01:00:50	11,13	126	129	05:28	04:26	924.0	17	août	2014	17/08/2014	07:40	17/08/2014 07:40	NA	NA	NA	NA	NA	NA	NA
87	 michael	Course à pied	sam., 16 août 2014 7:44	01:07:17	10,87	118	134	06:12	01:17	908.0	16	août	2014	16/08/2014	07:44	16/08/2014 07:44	NA	NA	NA	NA	NA	NA	NA
88	 michael	Course à pied	ven., 15 août 2014 6:55	01:30:46	15,38	168	173	05:54	03:59	1.29	15	août	2014	15/08/2014	06:55	15/08/2014 06:55	NA	NA	NA	NA	NA	NA	NA
89	 michael	Course à pied	mar., 12 août 2014 7:07	01:04:32	11,16	74	74	05:47	04:27	930.0	12	août	2014	12/08/2014	07:07	12/08/2014 07:07	NA	NA	NA	NA	NA	NA	NA
90	 michael & haekel	Course à pied	lun., 11 août 2014 7:19	01:01:31	9,99	51	51	06:09	04:38	837.0	11	août	2014	11/08/2014	07:19	11/08/2014 07:19	NA	NA	NA	NA	NA	NA	NA
91	 michael	Course à pied	dim., 10 août 2014 6:19	01:12:21	11,64	163	152	06:13	04:04	953.0	10	août	2014	10/08/2014	06:19	10/08/2014 06:19	296.17	73	2.1	60	8	0	1013
92	 michael	Course à pied	sam., 9 août 2014 8:09	56:31:00	8,23	158	161	06:52	01:25	676.0	9	août	2014	09/08/2014	08:09	09/08/2014 08:09	297.62	52	2	45	92	0	1003.8
93	 michael & david	Course à pied	jeu., 7 août 2014 9:10	01:43:43	17,03	293	290	06:05	03:31	1.422	7	août	2014	07/08/2014	09:10	07/08/2014 09:10	302.15	37	5.1	340	76	NA	1015
94	  michael	Course à pied	lun., 22 sept. 2014 6:01	01:02:28	12,31	142	144	05:05	04:16	1.021	22	septembre	2014	22/09/2014	06:01	22/09/2014 06:01	289.64	72	4.6	10	0	NA	1016
95	 michael	Course à pied	dim., 21 sept. 2014 7:53	01:04:21	13,01	154	152	04:57	03:56	1.084	21	septembre	2014	21/09/2014	07:53	21/09/2014 07:53	293.15	68	2.1	310	32	0	1017
96	 michael	Course à pied	sam., 20 sept. 2014 7:46	52:40:00	10,67	119	119	04:56	03:24	887.0	20	septembre	2014	20/09/2014	07:46	20/09/2014 07:46	294.66	73	2.6	60	75	0	1016
97	 michael	Course à pied	ven., 19 sept. 2014 5:45	54:33:00	10,8	110	108	05:03	03:54	897.0	19	septembre	2014	19/09/2014	05:45	19/09/2014 05:45	294.17	82	4.6	130	20	62	1012
98	 michael	Course à pied	mer., 17 sept. 2014 6:15	56:12:00	10,82	106	103	05:12	04:20	896.0	17	septembre	2014	17/09/2014	06:15	17/09/2014 06:15	293.68	68	4.6	110	92	3	1010
99	 michael	Course à pied	mar., 16 sept. 2014 6:14	57:08:00	10,8	116	115	05:17	02:49	893.0	16	septembre	2014	16/09/2014	06:14	16/09/2014 06:14	290.17	87	1.5	50	92	0.5	1014
100	 michael	Course à pied	lun., 15 sept. 2014 6:26	57:06:00	10,81	115	118	05:17	04:05	895.0	15	septembre	2014	15/09/2014	06:26	15/09/2014 06:26	293.15	64	2.1	30	92	NA	1014
